page,section,inv_no,stock_item,stock_ref,unit,initial_stock,stock_in,stock_out,balance
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,11,C-11 0 11 FUEL FILTER (LUBE FINER-L3578FN),B1-11,PC,8.0,0.0,0.0,8.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,12,C-12 0 10 TURBO,MP-10,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,12,FUEL FILTER (DONALDSON-P550463),B1-12,PC,12.0,0.0,0.0,12.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,13,C-13 0 11 ALTERNATOR,MP-11,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,13,FUEL FILTER (FLEETGUARD-FF5052),B1-13,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,14,C-14 0 12 TOYOTA ALTERNATOR,MP-12,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,0,15 C-15 0 WINDSHIELD 14 COOLANT FILTER (FLEETGUARD-WF2071),B1-14,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,16,C-16 0 13 FREIGHT LINER GRILLE,MP-13,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,14,FL COLUMBIA GRILLE,MP-14,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,15,COLUMBIA,WIENDSHIELDMP-15,PC,6.0,0.0,0.0,6.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,1,USA 88 DSL ENGN. OIL,B2-1,L,3.0,0.0,0.0,3.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,1,PRISTON AIRBAG (REAR-PMT),C1-1,PC,12.0,0.0,0.0,12.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,16,COLUMBIA,WIENDSHIELDMP-16,PC,4.0,0.0,0.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,2,CUTTING DISC,B2-2,PC,35.0,0.0,0.0,35.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,2,"C1-2 0 17FREIGHTLINER GRILLE,",CENTURMYP-17,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,3,N18 WELDING ROD,B2-3,KILO,7.0,0.0,0.0,7.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,3,C1-3 0 18 WINDSHIELD HINO,MP-18,PC,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,4,N6013 WELDING ROD,B2-4,KILO,3.0,0.0,0.0,3.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,4,C1-4 0 19 WINDSHIELD VOLVO,MP-19,PC,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,5,PENETRATING OIL (USED),B2-5,CAN,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,5,C1-5 0 20 MP-20 0 6 LUCAS OIL,B2-6,GALLON,14.0,0.0,0.5,13.5
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,6,C1-6 0 21 MP-21 0 7 TIE BOX,B2-7,ROLL,2.0,0.0,0.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,7,C1-7 0 22 MP-22 0 8 TEXT SCREW WITH WASHER,B2-8,PC,57.0,0.0,0.0,57.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,8,C1-8 0 23 MP-23 0 9 10X20 INTERIOR TRAILER,B2-9,PC,1.0,4.0,1.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,9,C1-9 0 24 MP-24 0 10 MP3 GREASE OIL,B2-10,KILO,0.0,4.0,3.75,0.25
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,10,C1-10 0 25 MP-25 0 11 REV-X ENGINE 15W40,B2-11,LITER,0.0,42.0,6.5,35.5
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,11,C1-11 0 26 MP-26 12 FLAP10X20 B.NEW,B2-12,PC,0.0,4.0,0.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,12,C1-12 0 13 BATTERY CABLE WIRE,B2-13,CM,291.0,0.0,0.0,291.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,13,C1-13 0 14 BATTERY CABLE WIRE WITH LUG,B2-14,PC,5.0,0.0,0.0,5.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,15,B2-15 KILO 0 0 0 0 16,B2-16,KILO,0.0,0.0,0.0,0.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,1,CLEARANCE LIGHT (CLR/M/CR W/P#01469771),B3-1,PC,4.0,0.0,0.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,1,THERMOSTAT C-120,C2-1,PC,4.0,0.0,0.0,4.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,1,DAMAGED TIRE S2-1,45,PC,0.0,0.0,45.0,2.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,2,PC 2 0 0 2 2 ROCKER ARM,C2-2,SET,1.0,0.0,0.0,1.0
2,B1 C (UPPERMOST) BACK MOST OF STORAGE -MISCELLANEOUS PARTS,2,TIRE 295/70R 19.5 S2-2 2 PC 0 0 2 3 SIGNAL LIGHT(DEPO 340-1506N-05),B3-3,PC,2.0,0.0,0.0,2.0
